name,url,description,site,price,teacher
Project Management Project,https://www.coursera.org/learn/project-management-capstone?specialization=project-management,"This capstone project is designed to allow you to take the knowledge you have gained through the Specialization and put that knowledge into practice. In the capstone, you will create several of the key planning deliverables that have been discussed in these courses and either work on a project you choose or use a suggested case study. You will begin the capstone project by writing part of the project charter. You will build on that information to define your project, and then ultimately create a schedule, budget and responses for the risks you identify.  The goal is for you to use what you have learned in the previous courses and to perform your own research on how to best move forward with the capstone project.  Your work will be peer reviewed by your classmates. In turn you will peer review the work of other classmates.  Instructions on how to conduct peer reviews will be included in the course.  Upon completing this series, you will be able to (1) write a narrative charter statement, (2) create a work breakdown structure, (3) sequence project activities,(4) build a project schedule, (5) create a project budget, (6) create a responsibility assignment matrix, (7) identify project risks and (8) define responses for those risks.",Coursera,8200000,2
Value-Based Care: Reimbursement Models,https://www.coursera.org/learn/reimburse-models?specialization=value-based-care,"COURSE 4 of 7. This course is designed to help you build high-level knowledge of the current medical coding and payment mechanisms of most U.S. healthcare services, referred to as fee-for-service. You will explore why the fee-for-service model has contributed to higher costs in the U.S. healthcare system without clearly improving health outcomes. You will examine the importance of coding to reflect chronic conditions and other diagnoses accurately and how value-based care and payments utilize these measures and data. As you learn about a model to replace fee-for-service, you’ll encounter a range of payment options considered to be value-based that utilize a framework from the Health Care Payment Learning and Action Network (HCP-LAN). To build on those options, you will learn how risk-adjustment, quality scores, and patient satisfaction measures are critical parts of value-based care and payment contracts. In the summative assignment, you will demonstrate your knowledge by comparing fee-for-service and value-based contracts, using specific examples to explain and justify the importance of documentation and coding, and identifying ways that risk-adjustment and patient satisfaction are incorporated into value-based care contracts.",Coursera,2700000,2
Understanding Einstein: The Special Theory of Relativity,https://www.coursera.org/learn/einstein-relativity,"In this course we will seek to “understand Einstein,” especially focusing on the special theory of relativity that Albert Einstein, as a twenty-six year old patent clerk, introduced in his “miracle year” of 1905. Our goal will be to go behind the myth-making and beyond the popularized presentations of relativity in order to gain a deeper understanding of both Einstein the person and the concepts, predictions, and strange paradoxes of his theory. Some of the questions we will address include: How did Einstein come up with his ideas? What was the nature of his genius? What is the meaning of relativity? What’s “special” about the special theory of relativity? Why did the theory initially seem to be dead on arrival? What does it mean to say that time is the “fourth dimension”? Can time actually run more slowly for one person than another, and the size of things change depending on their velocity? Is time travel possible, and if so, how? Why can’t things travel faster than the speed of light? Is it possible to travel to the center of the galaxy and return in one lifetime? Is there any evidence that definitively confirms the theory, or is it mainly speculation? Why didn’t Einstein win the Nobel Prize for the theory of relativity?",Coursera,8200000,14
The Critical Role of IT Support Staff in Healthcare,https://www.coursera.org/learn/healthcare-it-support-staff?specialization=healthcare-it,"This is a very exciting time to be exploring a career in Health IT Support! In this introductory course, you’ll learn about various roles in IT support that are common in healthcare. IT support staff play critical roles in many different healthcare venues. In addition to helping clinics, hospitals, and emergency rooms, you may end up providing support in a skilled nursing facility, ambulatory surgical center, virtual care setting, or even a patient’s home! On any given day, you may interact with nurses, physicians, pharmacists, physical therapists, social workers, other allied health professionals, patients or caregivers. Each of these individuals rely on IT support specialists to help them maintain a high reliability healthcare organization. As you learn about what makes Health IT unique, we hope you find inspiration in the stories shared by some of our very own IT support staff at Johns Hopkins. They’ll talk to you about the most common problems they help resolve as well as the complexity and range of issues that arise. Whether you dream of being an end-user computer support specialist, working at a healthcare help desk, or rising to an analyst role, we’re thrilled that you are embarking upon this journey. Welcome again!",Coursera,4600000,14
Leading Healthcare Quality and Safety,https://www.coursera.org/learn/quality-healthcare,"Ensuring patient safety and healthcare quality is critical and should be a key focus of everyone in healthcare practice. This course provides healthcare practitioners and others with an introduction to the knowledge and skills needed to lead patient safety and quality improvement initiatives at the micro and macro levels. Participants will explore the foundations of health care quality and the science underlying patient safety and quality improvement, design and select effective health care measures, analyze patient safety problems and processes using tools such as human factors analysis, apply systematic approaches including the Plan-Do-Study-Act (PDSA) model to address quality improvement challenges, and learn strategies to lead a culture of change. The course takes a world view of patient safety and quality, linking participants to research and resources from the World Health Organization (WHO), the US Agency for Healthcare Research and Quality (AHRQ), the Joint Commission and other international organizations. Course highlights include personal stories, lessons learned from other industries and interviews with the President of the National Committee for Quality Assurance (NCQA) and other leaders in quality movement.",Coursera,7800000,7
Greek and Roman Mythology,https://www.coursera.org/learn/mythology,"Myths are traditional stories that have endured over a long time. Some of them have to do with events of great importance, such as the founding of a nation. Others tell the stories of great heroes and heroines and their exploits and courage in the face of adversity. Still others are simple tales about otherwise unremarkable people who get into trouble or do some great deed. What are we to make of all these tales, and why do people seem to like to hear them? This course will focus on the myths of ancient Greece and Rome, as a way of exploring the nature of myth and the function it plays for individuals, societies, and nations. We will also pay some attention to the way the Greeks and Romans themselves understood their own myths. Are myths subtle codes that contain some universal truth? Are they a window on the deep recesses of a particular culture? Are they a set of blinders that all of us wear, though we do not realize it? Or are they just entertaining stories that people like to tell over and over? This course will investigate these questions through a variety of topics, including the creation of the universe, the relationship between gods and mortals, human nature, religion, the family, sex, love, madness, and death.",Coursera,3300000,6
Bayesian Statistics: From Concept to Data Analysis,https://www.coursera.org/learn/bayesian-statistics?specialization=bayesian-statistics,"This course introduces the Bayesian approach to statistics, starting with the concept of probability and moving to the analysis of data. We will learn about the philosophy of the Bayesian approach as well as how to implement it for common types of data. We will compare the Bayesian approach to the more commonly-taught Frequentist approach, and see some of the benefits of the Bayesian approach. In particular, the Bayesian approach allows for better accounting of uncertainty, results that have more intuitive and interpretable meaning, and more explicit statements of assumptions. This course combines lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience. For computing, you have the choice of using Microsoft Excel or the open-source, freely available statistical package R, with equivalent content for both options. The lectures provide some of the basic mathematical development as well as explanations of philosophy and interpretation. Completion of this course will give you an understanding of the concepts of the Bayesian approach, understanding the key differences between Bayesian and Frequentist approaches, and the ability to do basic data analyses.",Coursera,6700000,9
Diagnosing Health Behaviors for Global Health Programs,https://www.coursera.org/learn/health-behaviors-global?specialization=global-health,"Health behavior lies at the core of any successful public health intervention. While we will examine the behavior of individual in depth in this course, we also recognize by way of the Ecological Model that individual behavior is encouraged or constrained by the behavior of families, social groups, communities, organizations and policy makers. We recognize that behavior change is not a simplistic process but requires an understanding of dimensions like frequency, complexity and cultural congruity. Such behavioral analysis is strengthened through the use of a toolkit of theoretical models and practical frameworks. While many of such models and frameworks exist, in this course we will review the Health Belief Model, Social Learning Theory, Theory of Reasoned Action, the Trans-Theoretical Model and the PRECEDE Framework. After building your behavioral analysis toolkit with these examples, you will see that actual behavior change program planning uses a combination of ideas and variables from different models, theories and frameworks. Ultimately we aim to encourage course participants to apply the idea that successful programs are theory based as they go about involving people in improving their health.",Coursera,5700000,13
Computer Simulations,https://www.coursera.org/learn/computer-simulations?specialization=computational-social-science-ucdavis,"Big data and artificial intelligence get most of the press about computational social science, but maybe the most complex aspect of it refers to using computational tools to explore and develop social science theory. This course shows how computer simulations are being used to explore the realm of what is theoretically possible. Computer simulations allow us to study why societies are the way they are, and to dream about the world we would like to live in. This can be as intuitive as playing a video game. Much like the well-known video game SimCity is used to build and manage an artificial city, we use agent-based models to grow and study artificial societies. Without hurting anyone in the real world, computer simulations allow us explore how to make the world a better place. We play hands-on with several practical computer simulation models and explore how we can combine hypothetical models with real world data. Finally, you will program a simple artificial society yourself, bottom-up. This will allow you to feel the complexity that arises when designing social systems, while at the same time experiencing the ease with which our new computational tools allow us to pursue such daunting endeavors.",Coursera,8100000,14
The Importance of Listening,https://www.coursera.org/learn/importance-of-listening?specialization=social-media-marketing,"In this second MOOC in the Social Marketing Specialization - ""The Importance of Listening"" - you will go deep into the Big Data of social and gain a more complete picture of what can be learned from interactions on social sites. You will be amazed at just how much information can be extracted from a single post, picture, or video. In this MOOC, guest speakers from Social Gist, BroadReader, Lexalytics, Semantria, Radian6, and IBM's Bluemix and Social Media Analytics Tools (SMA) will join Professor Hlavac to take you through the full range of analytics tools and options available to you and how to get the most from them. The best part, most of them will be available to you through the MOOC for free! Those purchasing the MOOC will receive special tools, templates, and videos to enhance your learning experience. In completing this course you will develop a fuller understanding of the data and will be able to increase the effectiveness of your content strategy by making better decisions and spotting crises before they happen! MOOC 2 bonus content in the paid toolkit includes access to Semantria's analytics engine to extract some data on the markets you are developing and have it analyzed. ",Coursera,8800000,14
AI Strategy and Governance,https://www.coursera.org/learn/wharton-ai-strategy-governance,"In this course, you will discover AI and the strategies that are used in transforming business in order to gain a competitive advantage. You will explore the multitude of uses for AI in an enterprise setting and the tools that are available to lower the barriers to AI use. You will get a closer look at the purpose, function, and use-cases for explainable AI. This course will also provide you with the tools to build responsible AI governance algorithms as faculty dive into the large datasets that you can expect to see in an enterprise setting and how that affects the business on a greater scale. Finally, you will examine AI in the organizational structure, how AI is playing a crucial role in change management, and the risks with AI processes. By the end of this course, you will learn different strategies to recognize biases that exist within data, how to ensure that you maintain and build trust with user data and privacy, and what it takes to construct a responsible governance strategy. For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource for more extensive information on topics covered in this module.",Coursera,4500000,12
AI Strategy and Governance,https://www.coursera.org/learn/wharton-ai-strategy-governance?specialization=ai-for-business-wharton,"In this course, you will discover AI and the strategies that are used in transforming business in order to gain a competitive advantage. You will explore the multitude of uses for AI in an enterprise setting and the tools that are available to lower the barriers to AI use. You will get a closer look at the purpose, function, and use-cases for explainable AI. This course will also provide you with the tools to build responsible AI governance algorithms as faculty dive into the large datasets that you can expect to see in an enterprise setting and how that affects the business on a greater scale. Finally, you will examine AI in the organizational structure, how AI is playing a crucial role in change management, and the risks with AI processes. By the end of this course, you will learn different strategies to recognize biases that exist within data, how to ensure that you maintain and build trust with user data and privacy, and what it takes to construct a responsible governance strategy. For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource for more extensive information on topics covered in this module.",Coursera,8400000,2
"Lending, Crowdfunding, and Modern Investing",https://www.coursera.org/learn/wharton-crowdfunding-marketplace-lending-modern-investing?specialization=wharton-fintech,"In this course, you’ll learn the foundational theories behind robo-advising, crowdfunding, and marketplace lending, and how to apply these theories to optimize your investments. Professor David Musto of the Wharton School has designed this course to help you gain a practical understanding of the theoretical frameworks of Modern Portfolio Theory and Financial Technology. You’ll learn how to apply the ideas behind robo-advising and crowdfunding to better assess and leverage a more optimized portfolio while managing risks. You’ll also explore the current consumer credit landscape and learn how to utilize financial technologies in your business. You’ll analyze real-life examples by studying the cases of Square and CommonBond. By the end of this course, you’ll have honed your skills in calculating risks and returns in robo-advising and crowdfunding, and be able to assess the value of marketplace lending to achieve better returns on your investments. No prerequisites are required for this course, although ""Fintech: Foundations, Payments, and Regulations"" and ""Cryptocurrency and Blockchain: An Introduction to Digital Currencies"" from Wharton's Fintech Specialization are recommended.",Coursera,6300000,2
"Sampling People, Networks and Records",https://www.coursera.org/learn/sampling-methods?specialization=data-collection,"Good data collection is built on good samples.  But the samples can be chosen in many ways.  Samples can be haphazard or convenient selections of persons, or records, or networks, or other units, but one questions the quality of such samples, especially what these selection methods mean for drawing good conclusions about a population after data collection and analysis is done.  Samples can be more carefully selected based on a researcher’s judgment, but one then questions whether that judgment can be biased by personal factors.  Samples can also be draw in statistically rigorous and careful ways, using random selection and control methods to provide sound representation and cost control.  It is these last kinds of samples that will be discussed in this course.  We will examine simple random sampling that can be used for sampling persons or records, cluster sampling that can be used to sample groups of persons or records or networks, stratification which can be applied to simple random and cluster samples, systematic selection, and stratified multistage samples.  The course concludes with a brief overview of how to estimate and summarize the uncertainty of randomized sampling.",Coursera,4500000,13
Big Data - Capstone Project,https://www.coursera.org/learn/big-data-project?specialization=big-data,"Welcome to the Capstone Project for Big Data! In this culminating project, you will build a big data ecosystem using tools and methods form the earlier courses in this specialization. You will analyze a data set simulating big data generated from a large number of users who are playing our imaginary game ""Catch the Pink Flamingo"". During the five week Capstone Project, you will walk through the typical big data science steps for acquiring, exploring, preparing, analyzing, and reporting. In the first two weeks, we will introduce you to the data set and guide you through some exploratory analysis using tools such as Splunk and Open Office. Then we will move into more challenging big data problems requiring the more advanced tools you have learned including KNIME, Spark's MLLib and Gephi. Finally, during the fifth and final week, we will show you how to bring it all together to create engaging and compelling reports and slide presentations. As a result of our collaboration with Splunk, a software company focus on analyzing machine-generated big data, learners with the top projects will be eligible to present to Splunk and meet Splunk recruiters and engineering leadership.",Coursera,8700000,2
 Optimization Methods in Asset Management,https://www.coursera.org/learn/financial-engineering-optimizationmethods?specialization=financialengineering,"This course focuses on applications of optimization methods in portfolio construction and risk management. The first module discusses portfolio construction via Mean-Variance Analysis and Capital Asset Pricing Model (CAPM) in an arbitrage-free setting. Next, it demonstrates the application of the security market line and sharpe optimal portfolio in the exercises. The second module involves the difficulties in implementing Mean-Variance techniques in a real-world setting and the potential methods to deal with it. We will introduce Value at Risk (VaR) and Conditional Value at Risk (CVaR) as risk measurements, and Exchange Traded Funds (ETFs), which play an important role in trading and asset management. Typical statistical biases, pitfalls, and their underlying reasons are also discussed, in order to achieve better results when completing  real statistical estimation. The final module looks directly at real-world transaction costs modeling. It includes the basic market micro-structures including order book, bid-ask spread, measurement of liquidity, and their effects on transaction costs. Then we enrich Mean-Variance portfolio strategies by considering transaction costs.",Coursera,4900000,11
Mathematics for Machine Learning: Multivariate Calculus,https://www.coursera.org/learn/multivariate-calculus-machine-learning?specialization=mathematics-machine-learning,"This course offers a brief introduction to the multivariate calculus required to build many common machine learning techniques. We start at the very beginning with a refresher on the “rise over run” formulation of a slope, before converting this to the formal definition of the gradient of a function. We then start to build up a set of tools for making calculus easier and faster. Next, we learn how to calculate vectors that point up hill on multidimensional surfaces and even put this into action using an interactive game. We take a look at how we can use calculus to build approximations to functions, as well as helping us to quantify how accurate we should expect those approximations to be. We also spend some time talking about where calculus comes up in the training of neural networks, before finally showing you how it is applied in linear regression models. This course is intended to offer an intuitive understanding of calculus, as well as the language necessary to look concepts up yourselves when you get stuck. Hopefully, without going into too much detail, you’ll still come away with the confidence to dive into some more focused machine learning courses in future.",Coursera,2900000,5
Supply Chain Operations,https://www.coursera.org/learn/operations?specialization=supply-chain-management,"Have you ever wondered how products and services are created exactly the same thousands of times over? And how companies are able to smooth out operations to manufacture efficiently, effectively, and without any waste? How is such precision possible? The answer lies at the heart of operations. In the Supply Chain Operations course, we introduce and apply essential process improvement tools to achieve perfection. After completing this course, you will be able to apply the Six Sigma methodology for process improvement. You will demonstrate that you understand the basic tenets of the Lean philosophy that enables manufacturers to eliminate waste and make processes more efficient.  Finally, you will be able to apply the tools that you just gained to improve a process of your own. This is an introductory course designed to provide you with a start on your learning journey in operations. You do not need to have any background in operations, but it would be beneficial if you had a basic understanding of business concepts, a working knowledge of spreadsheets, and ideally have mastered the Supply Chain Logistics course. Join me and we will learn together about operations!",Coursera,6200000,11
Applied Machine Learning in Python,https://www.coursera.org/learn/python-machine-learning?specialization=data-science-python,"This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis. ",Coursera,8100000,6
Understanding Plants - Part I: What a Plant Knows,https://www.coursera.org/learn/plantknows,"For centuries we have collectively marveled at plant diversity and form—from Charles Darwin’s early fascination with stems and flowers to Seymour Krelborn’s distorted doting in Little Shop of Horrors. This course intends to present an intriguing and scientifically valid look at how plants themselves experience the world—from the colors they see to the sensations they feel. Highlighting the latest research in genetics and more, we will delve into the inner lives of plants and draw parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. We’ll learn how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the music you’ve been playing for them or if they’re just deaf to the sounds around them. We’ll explore definitions of memory and consciousness as they relate to plants in asking whether we can say that plants might even be aware of their surroundings. This highly interdisciplinary course meshes historical studies with cutting edge modern research and will be relevant to all humans who seek their place in nature. ",Coursera,7200000,11
Investments II: Lessons and Applications for Investors,https://www.coursera.org/learn/investments-applications?specialization=financial-management,"In this course, you will start by reviewing the fundamentals of investments, including the trading off of return and risk when forming a portfolio, asset pricing models such as the Capital Asset Pricing Model (CAPM) and the 3-Factor Model, and the efficient market hypothesis.  You will be introduced to the two components of stock returns – dividends and capital gains – and will learn how each are taxed and the incentives provided to investors from a realization-based capital gains tax.  You will examine the investment decisions (and behavioral biases) of participants in defined-contribution (DC) pension plans like 401(k) plans in the U.S. and will learn about the evidence regarding the performance of individual investors in their stock portfolios.  The course concludes by discussing the evidence regarding the performance of actively-managed mutual funds. You will learn about the fees charged to investors by mutual funds and the evidence regarding the relation between fees charged and fund performance.  Segments of the portfolios of mutual funds that may be more likely to outperform and examples of strategies designed to “earn alpha” will also be introduced.",Coursera,6300000,5
AI in Healthcare Capstone,https://www.coursera.org/learn/ai-in-healthcare-capstone?specialization=ai-healthcare,"This capstone project takes you on a guided tour exploring all the concepts we have covered in the different classes up till now. We have organized this experience around the journey of a patient who develops some respiratory symptoms and given the concerns around COVID19 seeks care with a primary care provider. We will follow the patient's journey from the lens of the data that are created at each encounter, which will bring us to a unique de-identified dataset created specially for this specialization. The data set spans EHR as well as image data and using this dataset, we will build models that enable risk-stratification decisions for our patient. We will review how the different choices you make -- such as those around feature construction, the data types to use, how the model evaluation is set up and how you handle the patient timeline -- affect the care that would be recommended by the model. During this exploration, we will also discuss the regulatory as well as ethical issues that come up as we attempt to use AI to help us make better care decisions for our patient. This course will be a hands-on experience in the day of a medical data miner.",Coursera,9000000,1
Qualitative Data Collection Methods,https://www.coursera.org/learn/qualitative-data-collection-methods?specialization=qualitative-research-design-and-methods-for-public-health,"This course presents a detailed overview of qualitative methods of data collection, including observation, interviews, and focus group discussions. We will start with an in-depth overview of each method, explore how to plan for data collection, including developing data collection guides, and discuss techniques for managing data collection. For observation, we’ll focus on approaches with low levels of interaction with people and the environment (e.g. non-participant observation). We’ll talk about note-taking strategies, the use of observation guides, and approaches to writing up fieldnotes. For interviews, we’ll discuss development of effective question guides and demonstrate interviewing techniques. For focus group discussions, we’ll highlight moderation strategies and how to integrate activities into question guides to promote interaction in the group setting. Finally, we’ll briefly discuss the transcription process for recorded interviews and focus group discussions. Learners of this course will not only be able to put what they learn into practice, but they'll also develop a portfolio of qualitative research materials for career advancement.",Coursera,3400000,10
Business Strategy in Practice (Project-centered Course),https://www.coursera.org/learn/uva-darden-business-strategy-capstone?specialization=business-strategy,"A Capstone Project is an assignment designed specifically to apply and showcase the skills you learned in the Specialization. To this end, the Business Strategy Capstone Project, a comprehensive Strategic Analysis, provides an opportunity for you to synthesize concepts and knowledge from the four prerequisite courses in the specialization. In this course, developed at the Darden School of Business at the University of Virginia, you will be guided through your project by top-ranked faculty. You may continue with the organization you selected for previous assignments or select a new organization for this project. You will analyze the current state of the organization, strategic issues facing the organization, strategic paths the organization might pursue, make a recommendation of the best path for the organization to pursue, and write an Executive Summary. Your finished project will serve as an artifact showcasing your ability to conduct research on/within an organization, select and apply the most appropriate analytical tools, build a well-supported case for a specific position, and effectively communicate key points with executive leadership.",Coursera,4000000,14
"Be a Leader, Develop a Leader",https://www.coursera.org/learn/be-a-leader?specialization=inspired-leadership,"The objectives of this MOOC are to enable you to learn from applying concepts, exercises and learning from the four other MOOCs in this specialization. Learners involved in our programs over the decades have repeatedly told us that going over the material several times helps them progressively delve into the meaning and application of the ideas and experiences. As a result, we have designed this capstone so that it would be the third iteration of working with the ideas and experiences about effective leadership and inspiring its development in others. The first iteration was during one of the other MOOCs in terms of the videos, readings, Forum chats and reflective exercises. The second iteration was doing one of the personal learning or action learning assignments in one of the MOOCs that involved talking to others and writing an essay about the experience. If you had not done the Action learning assignment, then one of the two projects for this MOOC would involve doing it. The third is reviewing and revising your analysis of the experience as the Capstone project to show evidence that you can Be a Leader and help another Develop as a Leader.",Coursera,8700000,1
Investments I: Fundamentals of Performance Evaluation,https://www.coursera.org/learn/investments-fundamentals?specialization=financial-management,"In this course, we will discuss fundamental principles of trading off risk and return, portfolio optimization, and security pricing. We will study and use risk-return models such as the Capital Asset Pricing Model (CAPM) and multi-factor models to evaluate the performance of various securities and portfolios. Specifically, we will learn how to interpret and estimate regressions that provide us with both a benchmark to use for a security given its risk (determined by its beta), as well as a risk-adjusted measure of the security’s performance (measured by its alpha). Building upon this framework, market efficiency and its implications for patterns in stock returns and the asset-management industry will be discussed. Finally, the course will conclude by connecting investment finance with corporate finance by examining firm valuation techniques such as the use of market multiples and discounted cash flow analysis. The course emphasizes real-world examples and applications in Excel throughout. This course is the first of two on Investments that I am offering online (“Investments II: Lessons and Applications for Investors” is the second course).",Coursera,4600000,6
Python and Machine-Learning for Asset Management with Alternative Data Sets,https://www.coursera.org/learn/machine-learning-asset-management-alternative-data?specialization=investment-management-python-machine-learning,"Over-utilization of market and accounting data over the last few decades has led to portfolio crowding, mediocre performance and systemic risks, incentivizing financial institutions which are looking for an edge to quickly adopt alternative data as a substitute to traditional data. This course introduces the core concepts around alternative data, the most recent research in this area, as well as practical portfolio examples and actual applications. The approach of this course is somewhat unique because while the theory covered is still a main component, practical lab sessions and examples of working with alternative datasets are also key. This course is fo you if you are aiming at carreers prospects as a data scientist in financial markets, are looking to enhance your analytics skillsets to the financial markets, or if you are interested in cutting-edge technology and research as  they apply to big data. The required background is: Python programming, Investment theory , and Statistics. This course will enable you to learn new data and research techniques applied to the financial markets while strengthening data science and python skills.",Coursera,3300000,10
La gestión de personas y equipos,https://www.coursera.org/learn/gestion-personas-equipos?specialization=direccion-empresas,"En una ocurrente frase, Peter Drucker, pionero en el campo de la gestión empresarial, afirmó en una ocasión que las personas tienen una tendencia perversa a comportarse como seres humanos. Con ello quería señalar algo que es evidente: que las personas  no somos máquinas y, por ello, no somos programables. Sin embargo, sí que tenemos unas necesidades que satisfacer, y unas características comunes. Y conocerlas - qué motiva a las personas en el ámbito laboral, qué necesidades buscan satisfacer, y por qué - ayuda a entender mejor el comportamiento en las organizaciones. Por ejemplo, nos sirve para dar respuesta a las siguientes cuestiones: ¿cómo es posible que aún ganando mucho dinero una persona no esté motivada para trabajar? O lo contrario, ¿cómo es posible que a pesar de ganar muy poco dinero una persona esté dispuesta a trabajar con ahínco? ¿Qué comportamientos y cualidades debe mostrar un buen líder? ¿Es factible desarrollar dichas capacidades? ¿Por qué hay equipos que tienen un alto rendimiento mientras otros no? Y a la vez, ¿cómo medir el rendimiento de un equipo?  ¿Qué es la cultura de la organización y qué importancia tiene?",Coursera,8500000,6
"Surveillance Systems: Analysis, Dissemination, and Special Systems",https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis?specialization=professional-epidemiology,"In this course, we'll build on the previous lessons in this specialization to focus on some very specific skills related to public health surveillance. We'll learn how to get the most out of surveillance data analysis, focusing specifically on interpreting time trend data to detect temporal aberrations as well as person, place, and time in the context of surveillance data. We'll also explore strategies for the presentation of surveillance data and some of the complex legal elements that affect its use. We'll then turn our attention to surveillance of non-communicable chronic diseases and how the data can be used to support prevention efforts. Finally, we'll explore special surveillance systems, such as syndromic surveillance, antimicrobial resistance, and event-related surveillance. This course is designed for public health practitioners with a focus on those working on health surveillance in municipal, regional, state, provincial, or even national public health agencies. We really think that this course will help those with an interest in health surveillance to see which approaches are used in actual practice of public health.",Coursera,5700000,12
Blockchain Opportunity Analysis,https://www.coursera.org/learn/blockchain-opportunity-analysis?specialization=blockchain-revolution-enterprise,"In this fourth and final course of the specialization, you will synthesize your learning into a project deliverable called a Blockchain Opportunity Analysis.  The goals of this course are twofold: One, it’s for you to identify a specific need or problem in your chosen industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, including how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools that entrepreneurs use to organize their findings. Throughout this process, you will hear from real-world practitioners who have hands-on experience in the blockchain ecosystem.  Additionally, by participating in this course you will gain access to our Blockchain Case Commons—a crowdsourced collection of blockchain applications and use-cases spanning multiple industries.  As an outcome of this course, you’ll walk away with a consolidated, peer-reviewed Blockchain Opportunity Analysis, which you can use to pitch your idea to your organization or even to potential investors.",Coursera,1300000,15
Blockchain Opportunity Analysis for Global Commerce,https://www.coursera.org/learn/blockchain-opportunity-analysis-global-commerce?specialization=web3-blockchain-global-commerce,"In this fourth and final course of the specialization, you will synthesize your learning into a project deliverable called a Blockchain Opportunity Analysis.  The goals of this course are twofold: One, it’s for you to identify a specific need or problem in Global Commerce that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, including how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools that entrepreneurs use to organize their findings. Throughout this process, you will hear from real-world practitioners who have hands-on experience in the blockchain ecosystem.  Additionally, by participating in this course you will gain access to our Blockchain Case Commons—a crowdsourced collection of blockchain applications and use-cases spanning multiple industries.  As an outcome of this course, you’ll walk away with a consolidated, peer-reviewed Blockchain Opportunity Analysis, which you can use to pitch your idea to your organization or even to potential investors.",Coursera,5900000,3
IoT Cloud,https://www.coursera.org/learn/iot-cloud?specialization=uiuc-iot,"This course is the last course in our series of four courses and builds on the previous three courses: IoT Devices, IoT Communications, and IoT Networking. After we have built and programmed a small self-driving vehicle, we then set out to enhance its connectivity and add important security infrastructure. In this course we will now look closer into various remaining types of decentralized network topography. In the lab, we will additionally cover important cloud technologies based on machine-learning. In the first two weeks' lectures, we will cover important components of networks. Metaphorically speaking, when you learn how the human body works, you start by understanding the ""organs"", the stomach, the liver, and so on. Likewise, we can best understand networks by understanding the individual components that make them up and their function. In this lecture series we will study ""devices"" such as routers, switches, firewalls, load balancers, and many more. We will learn about how they individually operate, how they are configured, and how they work together to achieve various network-wide properties and goals.",Coursera,8400000,14
Solar Energy Basics,https://www.coursera.org/learn/solar-energy-basics,"This course gives you an introduction to the fundamentals of solar power as it applies to solar panel system installations. You will learn to compare solar energy to other energy resources and explain how solar panels, or photovoltaics (PV for short), convert sunlight to electricity.  You will be able to identify the key components needed in a basic photovoltaic (solar panel) system, such as is found on a house or building, and explain the function of each component in the system. You will also learn how to calculate the electrical demand of a building, how to reduce the overall demand, and then how to design a solar panel system that can meet that annual demand at a given location. You will also compare the different types of pricing models that are being used and key regulatory considerations for grid tied systems (where a house or building is connected to the electrical grid and also generates electricity from solar panels). A capstone design project that entails both the simple audit of a building to determine demand, and a selection of components to design a solar panel system to meet that demand.",Coursera,9200000,14
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",https://www.coursera.org/learn/computers-waves-simulations,"Interested in learning how to solve partial differential equations with numerical methods and how to turn them into python codes? This course provides you with a basic introduction how to apply methods like the finite-difference method, the pseudospectral method, the linear and spectral element method to the 1D (or 2D) scalar wave equation. The mathematical derivation of the computational algorithm is accompanied by python codes embedded in Jupyter notebooks. In a unique setup you can see how the mathematical equations are transformed to a computer code and the results visualized. The emphasis is on illustrating the fundamental mathematical ingredients of the various numerical methods (e.g., Taylor series, Fourier series, differentiation, function interpolation, numerical integration) and how they compare. You will be provided with strategies how to ensure your solutions are correct, for example benchmarking with analytical solutions or convergence tests. The mathematical aspects are complemented by a basic introduction to wave physics, discretization, meshes, parallel programming, computing models. ",Coursera,4500000,9
